date,a,b1,b2,betaN,betaV,sigmaN1,sigmaN2,sigmaV1,sigmaV2,alpha,C,file_path
2022-05-07 11:28:58.724691,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b2_=0.2000.csv
2022-05-07 11:29:18.102845,0.2,0.8,0.3,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b2_=0.3000.csv
2022-05-07 11:29:37.396222,0.2,0.8,0.4,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b2_=0.4000.csv
2022-05-07 11:29:57.502428,0.2,0.8,0.5,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b2_=0.5000.csv
2022-05-07 11:30:16.773865,0.2,0.8,0.6,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b2_=0.6000.csv
2022-05-07 11:30:36.339514,0.2,0.8,0.7,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b2_=0.7000.csv
2022-05-07 11:30:55.845326,0.2,0.8,0.8,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b2_=0.8000.csv
2022-05-07 11:31:15.523700,0.2,0.8,0.9,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b2_=0.9000.csv
2022-05-07 11:31:35.325717,0.2,0.8,1.0,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b2_=1.0000.csv
2022-05-07 11:36:12.672271,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_alpha_inverse_=2.0000.csv
2022-05-07 11:36:32.502176,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,3,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_alpha_inverse_=3.0000.csv
2022-05-07 11:36:51.471455,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,4,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_alpha_inverse_=4.0000.csv
2022-05-07 11:37:10.049713,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,5,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_alpha_inverse_=5.0000.csv
2022-05-07 11:37:28.742761,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_alpha_inverse_=6.0000.csv
2022-05-07 12:02:23.955788,0.2,0.8,0.2,0.5,0.3,2,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaN1_inverse_=2.0000.csv
2022-05-07 12:02:43.064957,0.2,0.8,0.2,0.5,0.3,3,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaN1_inverse_=3.0000.csv
2022-05-07 12:03:01.806807,0.2,0.8,0.2,0.5,0.3,4,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaN1_inverse_=4.0000.csv
2022-05-07 12:03:20.307559,0.2,0.8,0.2,0.5,0.3,5,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaN1_inverse_=5.0000.csv
2022-05-07 12:03:39.334650,0.2,0.8,0.2,0.5,0.3,6,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaN1_inverse_=6.0000.csv
2022-05-07 13:38:07.255628,0.2,0.8,0.2,0.5,0.3,4.0,2,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaN2_inverse=2.0000.csv
2022-05-07 13:38:25.929645,0.2,0.8,0.2,0.5,0.3,4.0,3,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaN2_inverse=3.0000.csv
2022-05-07 13:38:45.106462,0.2,0.8,0.2,0.5,0.3,4.0,4,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaN2_inverse=4.0000.csv
